Category,SubCategory
Reduced inequaliti es,Ageism
Reduced inequaliti es,Business
Reduced inequaliti es,Children
Reduced inequaliti es,Culture
Reduced inequaliti es,Developi ng countries
Reduced inequaliti es,Developi ng states
Reduced inequaliti es,Develop ment assistance
Reduced inequaliti es,Disabiliti es
Reduced inequaliti es,Discrimin ation
Reduced inequaliti es,Discrimin atory
Reduced inequaliti es,Economy
Reduced inequaliti es,Education
Reduced inequaliti es,Empower
Reduced inequaliti es,Equal opportuni ty
Reduced inequaliti es,Equality
Reduced inequaliti es,Equity
Reduced inequaliti es,Ethnicity
Reduced inequaliti es,Financial assistance
Reduced inequaliti es,Foreign aid
Reduced inequaliti es,Foreign investmen t
Reduced inequaliti es,Gender
Reduced inequaliti es,Global financial markets
Reduced inequaliti es,Health
Reduced inequaliti es,Homeless ness
Reduced inequaliti es,Homopho bia
Reduced inequaliti es,Human rights
Reduced inequaliti es,Inclusion
Reduced inequaliti es,Income growth
Reduced inequaliti es,Income inequality
Reduced inequaliti es,Indigenou s
Reduced inequaliti es,Inequaliti es
Reduced inequaliti es,Inequality
Reduced inequaliti es,Migrant remittanc e
Reduced inequaliti es,Migration
Reduced inequaliti es,Populatio n growth
Reduced inequaliti es,Poverty
Reduced inequaliti es,Public policy
Reduced inequaliti es,Quality of life
Reduced inequaliti es,Race
Reduced inequaliti es,Racisim
Reduced inequaliti es,Reduce inequaliti es
Reduced inequaliti es,Religion
Reduced inequaliti es,Rural
Reduced inequaliti es,Sex
Reduced inequaliti es,Sexism
Reduced inequaliti es,Social protection
Reduced inequaliti es,Society
Reduced inequaliti es,Vulnerabl e nations
Reduced inequaliti es,World trade
Sustainable cities and communities,Adaptable
Sustainable cities and communities,Adaptation
Sustainable cities and communities,Affordable housing
Sustainable cities and communities,Air pollution
Sustainable cities and communities,Air quality
Sustainable cities and communities,Cities
Sustainable cities and communities,Climate change
Sustainable cities and communities,Community
Sustainable cities and communities,Cultural heritage
Sustainable cities and communities,Decentralisati on
Sustainable cities and communities,Development planning
Sustainable cities and communities,Disaster management
Sustainable cities and communities,Disaster risk reduction
Sustainable cities and communities,Disaster Strategy
Sustainable cities and communities,Disasters
Sustainable cities and communities,Fine particulate matter
Sustainable cities and communities,Green spaces
Sustainable cities and communities,Heritage
Sustainable cities and communities,Housing
Sustainable cities and communities,Human settlements
Sustainable cities and communities,Impact  of cities
Sustainable cities and communities,Inadequate housing
Sustainable cities and communities,Informal settlements
Sustainable cities and communities,Infrastructure
Sustainable cities and communities,Land
Sustainable cities and communities,Land consumption
Sustainable cities and communities,local materials
Sustainable cities and communities,mitigation
Sustainable cities and communities,Natural disasters
Sustainable cities and communities,Natural heritage
Sustainable cities and communities,Over crowding
Sustainable cities and communities,Pollution
Sustainable cities and communities,Population
Sustainable cities and communities,Population growth
Sustainable cities and communities,Public spaces
Sustainable cities and communities,Public transport
Sustainable cities and communities,Resilient
Sustainable cities and communities,Resilient buildings
Sustainable cities and communities,Resource efficiency
Sustainable cities and communities,Resource needs
Sustainable cities and communities,Risk reduction strategy
Sustainable cities and communities,Road safety
Sustainable cities and communities,Safe cities
Sustainable cities and communities,Shanty
Sustainable cities and communities,Slums
Sustainable cities and communities,Smart cities
Sustainable cities and communities,Solid waste
Sustainable cities and communities,Suburban
Sustainable cities and communities,Sustainable
Sustainable cities and communities,Sustainable building/s
Sustainable cities and communities,Sustainable cities/city
Sustainable cities and communities,Sustainable communities
Sustainable cities and communities,Sustainable urbanisation
Sustainable cities and communities,Town planning
Sustainable cities and communities,Transport
Sustainable cities and communities,Transport systems
Sustainable cities and communities,Urban
Sustainable cities and communities,Urban development
Sustainable cities and communities,Urban planning
Sustainable cities and communities,Urban sustainability
Sustainable cities and communities,Urbanisation
Sustainable cities and communities,Waste
Sustainable cities and communities,Waste generation
Sustainable cities and communities,Waste management
Sustainable cities and communities,Water
Sustainable cities and communities,Water-related disasters
Responsible consumption and production,Capitalism
Responsible consumption and production,Cars
Responsible consumption and production,Circular economy
Responsible consumption and production,Commercial enterprises
Responsible consumption and production,Consumer levels
Responsible consumption and production,Consumerism
Responsible consumption and production,Consumption
Responsible consumption and production,Deep decarbonisation
Responsible consumption and production,Ecological
Responsible consumption and production,Efficient use of resources
Responsible consumption and production,Energy
Responsible consumption and production,Energy consumption
Responsible consumption and production,Energy efficiency
Responsible consumption and production,Energy use
Responsible consumption and production,Food
Responsible consumption and production,Food losses
Responsible consumption and production,Food supply
Responsible consumption and production,Food waste
Responsible consumption and production,Fossil fuel subsidies
Responsible consumption and production,Future proof
Responsible consumption and production,Global food waste
Responsible consumption and production,Greenhouse gasses
Responsible consumption and production,Harvest losses
Responsible consumption and production,Life cycle
Responsible consumption and production,Market distortions
Responsible consumption and production,Materialism
Responsible consumption and production,Materials goods
Responsible consumption and production,Monitoring sustainable development
Responsible consumption and production,Natural resources
Responsible consumption and production,Obsolescence
Responsible consumption and production,Overconsumptio n
Responsible consumption and production,Production
Responsible consumption and production,Recycle
Responsible consumption and production,Recycling
Responsible consumption and production,Reduce waste generation
Responsible consumption and production,Reduction
Responsible consumption and production,Renewable
Responsible consumption and production,Resource efficiency
Responsible consumption and production,Responsible production chains
Responsible consumption and production,Retail
Responsible consumption and production,Retail industry
Responsible consumption and production,Reuse
Responsible consumption and production,Sustainable
Responsible consumption and production,Sustainable consumption
Responsible consumption and production,Sustainable management
Responsible consumption and production,Sustainable practices
Responsible consumption and production,Sustainable production
Responsible consumption and production,Sustainable public procurement
Responsible consumption and production,Sustainable resource use
Responsible consumption and production,Sustainable supply chain
Responsible consumption and production,Sustainable tourism
Responsible consumption and production,Vehicles
Responsible consumption and production,Waste
Responsible consumption and production,Wasteful consumption
Responsible consumption and production,Water
Responsible consumption and production,Water pollution
Responsible consumption and production,Water supply
Climate action,Average global temperature
Climate action,Carbon
Climate action,Carbon dioxide
Climate action,Changing weather patterns
Climate action,Climate
Climate action,Climate action
Climate action,Climate adaptation
Climate action,Climate and gender
Climate action,Climate and infectious disease
Climate action,Climate and politics
Climate action,Climate change
Climate action,Climate change management
Climate action,Climate change planning
Climate action,Climate change policy
Climate action,Climate early warning
Climate action,Climate hazards
Climate action,Climate impact
Climate action,Climate mitigation
Climate action,Climate refugees
Climate action,Climate related hazards
Climate action,Climate resilience
Climate action,CO2 capture
Climate action,CO2 conversion
Climate action,COP 21
Climate action,COP 22
Climate action,Ecosystems
Climate action,Emissions
Climate action,Extreme weather
Climate action,Extreme weather events
Climate action,Global mean temperature
Climate action,Global temperature
Climate action,Global warming
Climate action,Greenhouse gas
Climate action,Greenhouse gas emissions
Climate action,Greenhouse gases
Climate action,Ice loss
Climate action,Low-carbon economy
Climate action,Natural disasters
Climate action,Natural systems
Climate action,Ocean warming
Climate action,Paris Agreement
Climate action,Pollution
Climate action,Renewable
Climate action,Sea level rise / Rising sea / Rising sea level
Climate action,Temperature
Climate action,Warming
Life below water,Artisanal fishers
Life below water,Biodiversity
Life below water,Carbon dioxide
Life below water,Coastal biodiversity
Life below water,Coastal ecosystems
Life below water,Coastal habitats
Life below water,Coastal parks
Life below water,Coastal resources
Life below water,Coastlines
Life below water,Conserve
Life below water,Conserve oceans
Life below water,Coral bleaching
Life below water,Coral reef
Life below water,Ecosystem management
Life below water,Fish species
Life below water,Fish stocks
Life below water,Fish stocks AND FISHERIES MANAGEME NT
Life below water,Fisheries
Life below water,Fishers
Life below water,Fishing
Life below water,Fishing practices
Life below water,Global warming
Life below water,Illegal fishing
Life below water,Kelp
Life below water,Law of the Sea
Life below water,Marine
Life below water,Marine areas
Life below water,Marine biodiversity
Life below water,Marine ecosystems
Life below water,Marine fisheries
Life below water,Marine Parks
Life below water,Marine pollution
Life below water,Marine resources
Life below water,Ocean
Life below water,Ocean acidification
Life below water,Ocean temperature
Life below water,Oceanography
Life below water,Oceans
Life below water,Overfishing
Life below water,Productive oceans
Life below water,Protected areas
Life below water,Sea grasses
Life below water,Seas
Life below water,Sustainable ecosystems
Life below water,Unregulated fishing
Life below water,Water resources and policy
Life on land,Afforesta tion
Life on land,Agricultu re
Life on land,Animals
Life on land,Arable land
Life on land,Bees
Life on land,Biodivers ity
Life on land,Biodivers ity loss
Life on land,Conserva tion
Life on land,Deforesta tion
Life on land,Desertifi cation
Life on land,Drought
Life on land,Drylands
Life on land,Ecosyste m
Life on land,Ecosyste m restoratio n
Life on land,Ecosyste ms
Life on land,Extinct
Life on land,Extinct species
Life on land,Extinctio n
Life on land,Forest
Life on land,Forest managem ent
Life on land,Forests
Life on land,Genetic resources
Life on land,Illegal wildlife products
Life on land,Illicit traffickin g
Life on land,Indigeno us
Life on land,Indigeno us populatio ns
Life on land,Invasive alien species
Life on land,Land conservat ion
Life on land,Land degradati on
Life on land,Land loss
Life on land,Land use and sustainab ility
Life on land,Manage forests
Life on land,Managed forests
Life on land,Micro- organism s
Life on land,Permacul ture
Life on land,Plants
Life on land,Poaching
Life on land,Poverty
Life on land,Protected fauna
Life on land,Protected flora
Life on land,Protected species
Life on land,Reforesta tion
Life on land,Soil
Life on land,Soil degradati on
Life on land,Species
Life on land,Strategic plan for biodivers ity
Life on land,Terrestria l ecosyste ms
Life on land,Threaten ed species
Life on land,Tree
Life on land,Tree species
Life on land,Wetlands
"Peace, justice and strong institutions",Abuse
"Peace, justice and strong institutions",Accountability
"Peace, justice and strong institutions",Accountable institutions
"Peace, justice and strong institutions",Arbitrary detention
"Peace, justice and strong institutions",Arms
"Peace, justice and strong institutions",Arms trafficking
"Peace, justice and strong institutions",Birth registration
"Peace, justice and strong institutions",Bribery
"Peace, justice and strong institutions",Combat terrorism
"Peace, justice and strong institutions",Conflict resolution
"Peace, justice and strong institutions",Conflicts
"Peace, justice and strong institutions",Corruption
"Peace, justice and strong institutions",Discrimination
"Peace, justice and strong institutions",Education
"Peace, justice and strong institutions",Enforced disappearance
"Peace, justice and strong institutions",Equal access
"Peace, justice and strong institutions",Equity
"Peace, justice and strong institutions",Exploitation
"Peace, justice and strong institutions",Flow of arms
"Peace, justice and strong institutions",Freedom
"Peace, justice and strong institutions",Geography of poverty
"Peace, justice and strong institutions",Governance
"Peace, justice and strong institutions",Hate crime
"Peace, justice and strong institutions",Human rights
"Peace, justice and strong institutions",Human trafficking
"Peace, justice and strong institutions",Illegal arms
"Peace, justice and strong institutions",Illicit financial flows
"Peace, justice and strong institutions",Inclusion
"Peace, justice and strong institutions",Inclusive institutions
"Peace, justice and strong institutions",Inclusive societies/societ y
"Peace, justice and strong institutions",Institutions
"Peace, justice and strong institutions",Internally displaced
"Peace, justice and strong institutions",Judiciary
"Peace, justice and strong institutions",Justice
"Peace, justice and strong institutions",Justice for all
"Peace, justice and strong institutions",Legal identity
"Peace, justice and strong institutions",National Security
"Peace, justice and strong institutions",Non-violence
"Peace, justice and strong institutions",Organized crime
"Peace, justice and strong institutions",Paris principles
"Peace, justice and strong institutions",Peace
"Peace, justice and strong institutions",Peaceful societies
"Peace, justice and strong institutions",Physical abuse
"Peace, justice and strong institutions",Police
"Peace, justice and strong institutions",Prevent violence
"Peace, justice and strong institutions",Psychological abuse
"Peace, justice and strong institutions",Public policy
"Peace, justice and strong institutions",Quality of life
"Peace, justice and strong institutions",Representative decision- making
"Peace, justice and strong institutions",Rule of law
"Peace, justice and strong institutions",Security threats
"Peace, justice and strong institutions",Sexual abuse
"Peace, justice and strong institutions",Sexual violence
"Peace, justice and strong institutions",Stolen assets
"Peace, justice and strong institutions",Tax evasion
"Peace, justice and strong institutions",Theft
"Peace, justice and strong institutions",Torture
"Peace, justice and strong institutions",Trafficking
"Peace, justice and strong institutions",Transparency
"Peace, justice and strong institutions",Un-sentenced detainees
"Peace, justice and strong institutions",Unstable societies
"Peace, justice and strong institutions",Victims of violence
"Peace, justice and strong institutions",Violence
"Peace, justice and strong institutions",Violence against women and children
"Peace, justice and strong institutions",Violence rates
"Peace, justice and strong institutions",Weapon seizures
Partnerships for the goals,Capacity building
Partnerships for the goals,Civil society partnerships
Partnerships for the goals,Communicatio n technologies
Partnerships for the goals,Debt sustainability
Partnerships for the goals,Development assistance
Partnerships for the goals,Disaggregated data
Partnerships for the goals,Doha Development Agenda
Partnerships for the goals,Entrepreneursh ip
Partnerships for the goals,Environmentall y sound technologies
Partnerships for the goals,Foreign direct investments
Partnerships for the goals,Fostering innovation
Partnerships for the goals,Free trade
Partnerships for the goals,Fundamental principles of official statistics
Partnerships for the goals,Global partnership
Partnerships for the goals,Global partnership for sustainable development
Partnerships for the goals,Global stability
Partnerships for the goals,International aid
Partnerships for the goals,International cooperation
Partnerships for the goals,International population and housing census
Partnerships for the goals,International support
Partnerships for the goals,International support for developing countries
Partnerships for the goals,Knowledge sharing
Partnerships for the goals,Multi- stakeholder partnerships
Partnerships for the goals,Poverty eradication
Partnerships for the goals,Public-private partnerships
Partnerships for the goals,Science cooperation agreements
Partnerships for the goals,Technology cooperation agreements
Partnerships for the goals,Technology transfer
Partnerships for the goals,Weighted tariff average
Partnerships for the goals,Women entrepreneurs
Partnerships for the goals,World Trade Organization
